Infotrol,
16:22:10,viernes, 22 de enero de 2021,

,,,%Anode d1-5%,,,

,VP,VP,VP,                    ,VP,VP
,00108 RSSI          ,00108 Inc_m         ,00108 Inc_max       ,                    ,00108 Num_Pkt       ,00108 Ianode        
22/01 14:22:07,-16,0,0,                    ,113,-19.36
22/01 14:22:08,-16,0,0,                    ,113,-19.36
22/01 14:22:09,-16,0,0,                    ,113,-19.36
22/01 14:22:10,-16,0,0,                    ,113,-19.36
22/01 14:22:11,-16,0,0,                    ,113,-19.36
22/01 14:22:12,-16,0,0,                    ,113,-19.36
22/01 14:22:13,-16,0,0,                    ,116,-19.36
22/01 14:22:14,-16,0,0,                    ,116,-19.36
22/01 14:22:15,-16,0,0,                    ,116,-19.36
22/01 14:22:16,-16,0,0,                    ,116,-19.36
22/01 14:22:17,-16,0,0,                    ,118,-19.36
22/01 14:22:18,-16,0,0,                    ,118,-19.36
22/01 14:22:19,-16,0,0,                    ,119,-19.36
22/01 14:22:20,-16,0,0,                    ,119,-19.36
22/01 14:22:21,-16,0,0,                    ,119,-19.36
22/01 14:22:22,-16,0,0,                    ,119,-19.36
22/01 14:22:23,-16,0,0,                    ,119,-19.36
22/01 14:22:24,-16,0,0,                    ,121,-19.36
22/01 14:22:25,-16,0,0,                    ,121,-19.36
22/01 14:22:26,-16,0,0,                    ,121,-19.36
22/01 14:22:27,-16,0,0,                    ,121,-19.36
22/01 14:22:28,-16,0,0,                    ,121,-19.36
22/01 14:22:29,-16,0,0,                    ,121,-19.36
22/01 14:22:30,-16,0,0,                    ,121,-19.36
22/01 14:22:31,-15,0,0,                    ,123,-19.36
22/01 14:22:32,-15,0,0,                    ,123,-19.36
22/01 14:22:33,-16,0,0,                    ,124,-18.15
22/01 14:22:34,-16,0,0,                    ,124,-18.15
22/01 14:22:35,-16,0,0,                    ,124,-19.36
22/01 14:22:36,-16,0,0,                    ,124,-19.36
22/01 14:22:37,-16,0,0,                    ,126,-19.36
22/01 14:22:38,-16,0,0,                    ,126,-19.36
22/01 14:22:39,-16,0,0,                    ,126,-19.36
22/01 14:22:40,-16,0,0,                    ,126,-19.36
22/01 14:22:41,-16,0,0,                    ,126,-19.36
22/01 14:22:42,-16,0,0,                    ,126,-19.36
22/01 14:22:43,-16,0,0,                    ,126,-19.36
22/01 14:22:44,-15,0,0,                    ,128,-19.36
22/01 14:22:45,-15,0,0,                    ,128,-19.36
22/01 14:22:46,-16,0,0,                    ,129,-18.15
22/01 14:22:47,-16,0,0,                    ,129,-18.15
22/01 14:22:48,-16,0,0,                    ,129,-19.36
22/01 14:22:49,-16,0,0,                    ,129,-19.36
22/01 14:22:50,-16,0,0,                    ,131,-19.36
22/01 14:22:51,-16,0,0,                    ,131,-19.36
22/01 14:22:52,-16,0,0,                    ,131,-19.36
