Infotrol,
15:24:47,jueves, 21 de enero de 2021,

,,,%Anode d1-5%,,,

,VP,VP,VP,                    ,VP,VP
,00108 RSSI          ,00108 Inc_m         ,00108 Inc_max       ,                    ,00108 Num_Pkt       ,00108 Ianode        
21/01 14:41:01,-21,0,0,                    ,3,-25.41
21/01 14:41:02,-21,0,0,                    ,3,-25.41
21/01 14:41:03,-21,0,0,                    ,3,-25.41
21/01 14:41:04,-21,0,0,                    ,5,-25.41
21/01 14:41:05,-21,0,0,                    ,5,-25.41
21/01 14:41:06,-21,0,0,                    ,5,-25.41
21/01 14:41:07,-21,0,0,                    ,5,-25.41
21/01 14:41:08,-21,0,0,                    ,6,-25.41
21/01 14:41:09,-21,0,0,                    ,6,-25.41
21/01 14:41:10,-23,0,0,                    ,7,-25.41
21/01 14:41:11,-23,0,0,                    ,7,-25.41
21/01 14:41:13,-23,0,0,                    ,7,-27.83
21/01 14:41:14,-21,0,0,                    ,8,-27.83
21/01 14:41:15,-21,0,0,                    ,8,-25.41
21/01 14:41:16,-21,0,0,                    ,8,-25.41
21/01 14:41:17,-21,0,0,                    ,8,-25.41
21/01 14:41:18,-22,0,0,                    ,10,-25.41
21/01 14:41:19,-22,0,0,                    ,10,-25.41
21/01 14:41:20,-22,0,0,                    ,10,-26.62
21/01 14:41:21,-22,0,0,                    ,10,-26.62
21/01 14:41:22,-22,0,0,                    ,10,-26.62
21/01 14:41:23,-22,0,0,                    ,10,-26.62
21/01 14:41:24,-22,0,0,                    ,10,-26.62
21/01 14:41:25,-21,0,0,                    ,13,-26.62
21/01 14:41:26,-21,0,0,                    ,13,-26.62
21/01 14:41:27,-21,0,0,                    ,13,-25.41
21/01 14:41:28,-21,0,0,                    ,13,-25.41
21/01 14:41:29,-23,0,0,                    ,15,-25.41
21/01 14:41:30,-23,0,0,                    ,15,-25.41
21/01 14:41:31,-23,0,0,                    ,15,-27.83
21/01 14:41:32,-23,0,0,                    ,15,-27.83
21/01 14:41:33,-23,0,0,                    ,15,-27.83
21/01 14:41:34,-21,0,0,                    ,16,-27.83
21/01 14:41:35,-21,0,0,                    ,16,-25.41
21/01 14:41:36,-21,0,0,                    ,16,-25.41
21/01 14:41:37,-21,0,0,                    ,16,-25.41
21/01 14:41:38,-21,0,0,                    ,18,-25.41
21/01 14:41:39,-21,0,0,                    ,18,-25.41
21/01 14:41:40,-21,0,0,                    ,18,-25.41
21/01 14:41:41,-21,0,0,                    ,18,-25.41
21/01 14:41:42,-21,0,0,                    ,18,-25.41
21/01 14:41:43,-23,0,0,                    ,20,-25.41
21/01 14:41:44,-23,0,0,                    ,20,-25.41
21/01 14:41:45,-23,0,0,                    ,21,-27.83
21/01 14:41:46,-23,0,0,                    ,21,-27.83
21/01 14:41:47,-23,0,0,                    ,21,-27.83
21/01 14:41:48,-23,0,0,                    ,21,-27.83
21/01 14:41:49,-23,0,0,                    ,21,-27.83
21/01 14:41:50,-22,0,0,                    ,23,-27.83
21/01 14:41:51,-22,0,0,                    ,23,-26.62
21/01 14:41:52,-22,0,0,                    ,23,-26.62
21/01 14:41:53,-22,0,0,                    ,23,-26.62
21/01 14:41:54,-21,0,0,                    ,25,-26.62
21/01 14:41:55,-21,0,0,                    ,25,-26.62
21/01 14:41:56,-21,0,0,                    ,25,-25.41
21/01 14:41:57,-21,0,0,                    ,25,-25.41
21/01 14:41:58,-21,0,0,                    ,26,-25.41
21/01 14:41:59,-21,0,0,                    ,26,-25.41
21/01 14:42:00,-21,0,0,                    ,26,-25.41
21/01 14:42:01,-21,0,0,                    ,26,-25.41
21/01 14:42:02,-21,0,0,                    ,26,-25.41
21/01 14:42:03,-23,0,0,                    ,28,-25.41
21/01 14:42:04,-23,0,0,                    ,28,-25.41
21/01 14:42:05,-21,0,0,                    ,29,-27.83
